date,dns,visit_count
01/Jul/1995,piweba3y.prodigy.com,623
01/Jul/1995,piweba4y.prodigy.com,547
01/Jul/1995,alyssa.prodigy.com,536
01/Jul/1995,disarray.demon.co.uk,463
01/Jul/1995,piweba1y.prodigy.com,456
02/Jul/1995,piweba3y.prodigy.com,960
02/Jul/1995,alyssa.prodigy.com,578
02/Jul/1995,piweba1y.prodigy.com,432
02/Jul/1995,disarray.demon.co.uk,366
02/Jul/1995,www-d4.proxy.aol.com,343
03/Jul/1995,piweba3y.prodigy.com,1067
03/Jul/1995,134.83.184.18,413
03/Jul/1995,alyssa.prodigy.com,368
03/Jul/1995,news.ti.com,340
03/Jul/1995,www-b6.proxy.aol.com,311
04/Jul/1995,piweba3y.prodigy.com,1199
04/Jul/1995,alyssa.prodigy.com,828
04/Jul/1995,pcrb.ccrs.emr.ca,460
04/Jul/1995,piweba1y.prodigy.com,452
04/Jul/1995,piweba2y.prodigy.com,451
05/Jul/1995,news.ti.com,826
05/Jul/1995,piweba3y.prodigy.com,664
05/Jul/1995,alyssa.prodigy.com,473
05/Jul/1995,advantis.vnet.ibm.com,440
05/Jul/1995,gateway.cary.ibm.com,349
06/Jul/1995,piweba3y.prodigy.com,732
06/Jul/1995,alyssa.prodigy.com,682
06/Jul/1995,piweba1y.prodigy.com,433
06/Jul/1995,spidey.cor.epa.gov,401
06/Jul/1995,webgate1.mot.com,379
07/Jul/1995,piweba3y.prodigy.com,879
07/Jul/1995,alyssa.prodigy.com,767
07/Jul/1995,piweba1y.prodigy.com,546
07/Jul/1995,163.206.89.4,531
07/Jul/1995,webgate1.mot.com,405
08/Jul/1995,piweba3y.prodigy.com,781
08/Jul/1995,alyssa.prodigy.com,760
08/Jul/1995,piweba1y.prodigy.com,570
08/Jul/1995,piweba4y.prodigy.com,515
08/Jul/1995,piweba2y.prodigy.com,328
09/Jul/1995,alyssa.prodigy.com,545
09/Jul/1995,piweba4y.prodigy.com,533
09/Jul/1995,piweba3y.prodigy.com,490
09/Jul/1995,piweba2y.prodigy.com,315
09/Jul/1995,www-c2.proxy.aol.com,268
10/Jul/1995,e659229.boeing.com,358
10/Jul/1995,163.185.36.150,357
10/Jul/1995,alyssa.prodigy.com,322
10/Jul/1995,163.206.89.4,320
10/Jul/1995,faure.borland.com,316
11/Jul/1995,bill.ksc.nasa.gov,1394
11/Jul/1995,indy.gradient.com,969
11/Jul/1995,marina.cea.berkeley.edu,612
11/Jul/1995,piweba4y.prodigy.com,439
11/Jul/1995,198.133.29.18,386
12/Jul/1995,indy.gradient.com,1356
12/Jul/1995,bill.ksc.nasa.gov,1317
12/Jul/1995,marina.cea.berkeley.edu,1051
12/Jul/1995,piweba3y.prodigy.com,764
12/Jul/1995,piweba4y.prodigy.com,701
13/Jul/1995,piweba3y.prodigy.com,1202
13/Jul/1995,rush.internic.net,1119
13/Jul/1995,piweba4y.prodigy.com,1003
13/Jul/1995,piweba1y.prodigy.com,939
13/Jul/1995,alyssa.prodigy.com,906
14/Jul/1995,piweba4y.prodigy.com,1029
14/Jul/1995,siltb10.orl.mmc.com,872
14/Jul/1995,piweba3y.prodigy.com,867
14/Jul/1995,edams.ksc.nasa.gov,449
14/Jul/1995,piweba1y.prodigy.com,435
15/Jul/1995,piweba4y.prodigy.com,974
15/Jul/1995,piweba3y.prodigy.com,949
15/Jul/1995,siltb10.orl.mmc.com,881
15/Jul/1995,piweba2y.prodigy.com,432
15/Jul/1995,piweba1y.prodigy.com,408
16/Jul/1995,piweba3y.prodigy.com,1280
16/Jul/1995,piweba4y.prodigy.com,1269
16/Jul/1995,siltb10.orl.mmc.com,874
16/Jul/1995,piweba1y.prodigy.com,610
16/Jul/1995,piweba2y.prodigy.com,465
17/Jul/1995,siltb10.orl.mmc.com,850
17/Jul/1995,piweba4y.prodigy.com,460
17/Jul/1995,piweba1y.prodigy.com,422
17/Jul/1995,piweba3y.prodigy.com,413
17/Jul/1995,vagrant.vf.mmc.com,349
18/Jul/1995,siltb10.orl.mmc.com,518
18/Jul/1995,piweba3y.prodigy.com,459
18/Jul/1995,piweba4y.prodigy.com,403
18/Jul/1995,titan02f,396
