date,dns,visit_count
01/Jul/1995,piweba3y.prodigy.com,623
01/Jul/1995,piweba4y.prodigy.com,547
01/Jul/1995,alyssa.prodigy.com,536
01/Jul/1995,disarray.demon.co.uk,463
01/Jul/1995,piweba1y.prodigy.com,456
01/Jul/1995,www-b6.proxy.aol.com,417
01/Jul/1995,burger.letters.com,350
02/Jul/1995,piweba3y.prodigy.com,960
02/Jul/1995,alyssa.prodigy.com,578
02/Jul/1995,piweba1y.prodigy.com,432
02/Jul/1995,disarray.demon.co.uk,366
02/Jul/1995,www-d4.proxy.aol.com,343
02/Jul/1995,www-b6.proxy.aol.com,329
02/Jul/1995,www-b2.proxy.aol.com,260
03/Jul/1995,piweba3y.prodigy.com,1067
03/Jul/1995,134.83.184.18,413
03/Jul/1995,alyssa.prodigy.com,368
03/Jul/1995,news.ti.com,340
03/Jul/1995,www-b6.proxy.aol.com,311
03/Jul/1995,piweba1y.prodigy.com,279
03/Jul/1995,gatekeeper.mitre.org,265
04/Jul/1995,piweba3y.prodigy.com,1199
04/Jul/1995,alyssa.prodigy.com,828
04/Jul/1995,pcrb.ccrs.emr.ca,460
04/Jul/1995,piweba1y.prodigy.com,452
04/Jul/1995,piweba2y.prodigy.com,451
04/Jul/1995,disarray.demon.co.uk,400
04/Jul/1995,www-b6.proxy.aol.com,355
05/Jul/1995,news.ti.com,826
05/Jul/1995,piweba3y.prodigy.com,664
05/Jul/1995,alyssa.prodigy.com,473
05/Jul/1995,advantis.vnet.ibm.com,440
05/Jul/1995,gateway.cary.ibm.com,349
05/Jul/1995,129.188.154.200,293
05/Jul/1995,disarray.demon.co.uk,290
06/Jul/1995,piweba3y.prodigy.com,732
06/Jul/1995,alyssa.prodigy.com,682
06/Jul/1995,piweba1y.prodigy.com,433
06/Jul/1995,spidey.cor.epa.gov,401
06/Jul/1995,webgate1.mot.com,379
06/Jul/1995,piweba2y.prodigy.com,324
06/Jul/1995,www-b6.proxy.aol.com,283
07/Jul/1995,piweba3y.prodigy.com,879
07/Jul/1995,alyssa.prodigy.com,767
07/Jul/1995,piweba1y.prodigy.com,546
07/Jul/1995,163.206.89.4,531
07/Jul/1995,webgate1.mot.com,405
07/Jul/1995,piweba2y.prodigy.com,336
07/Jul/1995,piweba4y.prodigy.com,326
08/Jul/1995,piweba3y.prodigy.com,781
08/Jul/1995,alyssa.prodigy.com,760
08/Jul/1995,piweba1y.prodigy.com,570
08/Jul/1995,piweba4y.prodigy.com,515
08/Jul/1995,piweba2y.prodigy.com,328
08/Jul/1995,www-c2.proxy.aol.com,249
08/Jul/1995,www-d1.proxy.aol.com,248
09/Jul/1995,alyssa.prodigy.com,545
09/Jul/1995,piweba4y.prodigy.com,533
09/Jul/1995,piweba3y.prodigy.com,490
09/Jul/1995,piweba2y.prodigy.com,315
09/Jul/1995,www-c2.proxy.aol.com,268
09/Jul/1995,piweba1y.prodigy.com,262
09/Jul/1995,www-b4.proxy.aol.com,219
10/Jul/1995,e659229.boeing.com,358
10/Jul/1995,163.185.36.150,357
10/Jul/1995,alyssa.prodigy.com,322
10/Jul/1995,163.206.89.4,320
10/Jul/1995,faure.borland.com,316
10/Jul/1995,piweba1y.prodigy.com,283
10/Jul/1995,edams.ksc.nasa.gov,279
11/Jul/1995,bill.ksc.nasa.gov,1394
11/Jul/1995,indy.gradient.com,969
11/Jul/1995,marina.cea.berkeley.edu,612
11/Jul/1995,piweba4y.prodigy.com,439
11/Jul/1995,198.133.29.18,386
11/Jul/1995,alyssa.prodigy.com,382
11/Jul/1995,blazemonger.pc.cc.cmu.edu,354
12/Jul/1995,indy.gradient.com,1356
12/Jul/1995,bill.ksc.nasa.gov,1317
12/Jul/1995,marina.cea.berkeley.edu,1051
12/Jul/1995,piweba3y.prodigy.com,764
12/Jul/1995,piweba4y.prodigy.com,701
12/Jul/1995,alyssa.prodigy.com,633
12/Jul/1995,piweba1y.prodigy.com,595
13/Jul/1995,piweba3y.prodigy.com,1202
13/Jul/1995,rush.internic.net,1119
13/Jul/1995,piweba4y.prodigy.com,1003
13/Jul/1995,piweba1y.prodigy.com,939
13/Jul/1995,alyssa.prodigy.com,906
